city,st,location,lat,lon
Adair Village,OR,"Adair Village, OR",44.6706762,-123.2178759
Adrian,OR,"Adrian, OR",43.7407155,-117.0718261
Agness,OR,"Agness, OR",42.5568876,-124.0633122
Albany,OR,"Albany, OR",44.6365107,-123.1059282
Aloha,OR,"Aloha, OR",45.4942838,-122.8670454
Alsea,OR,"Alsea, OR",44.3818831,-123.5970325
Amity,OR,"Amity, OR",45.1156724,-123.2073257
Antelope,OR,"Antelope, OR",44.9106819,-120.7228172
Applegate,OR,"Applegate, OR",42.2570662,-123.1683833
Arlington,OR,"Arlington, OR",45.716796,-120.2008761
Arock,OR,"Arock, OR",42.913785,-117.5258057
Ashland,OR,"Ashland, OR",42.1945758,-122.7094767
Ashwood,OR,"Ashwood, OR",44.7337386,-120.7544782
Astoria,OR,"Astoria, OR",46.1878841,-123.8312534
Athena,OR,"Athena, OR",45.8117992,-118.4905251
Aumsville,OR,"Aumsville, OR",44.8409548,-122.8709243
Aurora,OR,"Aurora, OR",45.2309536,-122.7559267
Azalea,OR,"Azalea, OR",42.7953981,-123.2603401
Baker City,OR,"Baker City, OR",44.7748748,-117.8343848
Bandon,OR,"Bandon, OR",43.1189978,-124.408448
Banks,OR,"Banks, OR",45.6177756,-123.1144058
Barlow,OR,"Barlow, OR",45.2527657,-122.7226775
Bay City,OR,"Bay City, OR",45.5226042,-123.889296
Beatty,OR,"Beatty, OR",42.441815,-121.2708314
Beaver Creek,OR,"Beaver Creek, OR",45.2879294,-122.5353423
Beavercreek,OR,"Beavercreek, OR",45.2879294,-122.5353423
Beaverton,OR,"Beaverton, OR",45.4887993,-122.8013332
Bend,OR,"Bend, OR",44.0581728,-121.3153096
Beverton,OR,"Beverton, OR",45.4887993,-122.8013332
Blachly,OR,"Blachly, OR",44.1948163,-123.5350464
Blodgett,OR,"Blodgett, OR",44.5962833,-123.5210677
Bly,OR,"Bly, OR",42.3979851,-121.0428654
Boardman,OR,"Boardman, OR",45.839855,-119.7005834
Bonanza,OR,"Bonanza, OR",42.1987607,-121.4061076
Boring,OR,"Boring, OR",45.4313662,-122.3734641
Brightwood,OR,"Brightwood, OR",45.3762302,-122.0167481
Brogan,OR,"Brogan, OR",44.2460893,-117.5117698
Brookings,OR,"Brookings, OR",42.0526114,-124.2839819
Brooks,OR,"Brooks, OR",45.048175,-122.9584291
Brownsville,OR,"Brownsville, OR",44.3934571,-122.9848108
Burns Paiute,OR,"Burns Paiute, OR",43.613443,-119.074259
Burns,OR,"Burns, OR",43.5862606,-119.0541032
Butte Falls,OR,"Butte Falls, OR",42.5431843,-122.5655886
Buxton,OR,"Buxton, OR",45.6887233,-123.1909455
Callahan,CA,"Callahan, CA",41.3095884,-122.8014177
Camas Valley,OR,"Camas Valley, OR",43.0333629,-123.6739646
Canby,OR,"Canby, OR",45.262205,-122.6921558
Cannon Beach,OR,"Cannon Beach, OR",45.8917738,-123.9615274
Canyon City,OR,"Canyon City, OR",44.3895995,-118.9502315
Canyonville,OR,"Canyonville, OR",42.9273406,-123.2811748
Carlton,OR,"Carlton, OR",45.2942902,-123.1796697
Cascade Locks,OR,"Cascade Locks, OR",45.6698392,-121.8906355
Castella,CA,"Castella, CA",41.1384854,-122.3177877
Cave Junction,OR,"Cave Junction, OR",42.1628912,-123.6481235
Central Point,OR,"Central Point, OR",42.3759586,-122.9164307
Chemult,OR,"Chemult, OR",43.2165182,-121.7831612
Cheshire,OR,"Cheshire, OR",44.1895675,-123.2856507
Chiloquin,OR,"Chiloquin, OR",42.5776364,-121.8661258
Christmas Valley,OR,"Christmas Valley, OR",43.237797,-120.6708853
Clackamas,OR,"Clackamas, OR",45.4076205,-122.5703692
Clatskanie,OR,"Clatskanie, OR",46.1041322,-123.2039079
Cloverdale Or,OR,"Cloverdale Or, OR",45.2055135,-123.8879045
Cloverdale,OR,"Cloverdale, OR",45.2055135,-123.8879045
Coburg,OR,"Coburg, OR",44.1370689,-123.0664761
Colton,OR,"Colton, OR",45.1721192,-122.4374803
Columbia City,OR,"Columbia City, OR",45.8932123,-122.8119681
Condon,OR,"Condon, OR",45.2342966,-120.1850344
Coos Bay,OR,"Coos Bay, OR",43.3665007,-124.2178903
Coquille,OR,"Coquille, OR",43.1770544,-124.1876075
Corbett,OR,"Corbett, OR",45.5317887,-122.2912175
Cornelius,OR,"Cornelius, OR",45.5202273,-123.0470343
Corvallis,OR,"Corvallis, OR",44.5645659,-123.2620435
Cottage Grove,OR,"Cottage Grove, OR",43.797623,-123.0595246
Cove,OR,"Cove, OR",45.2965256,-117.8079872
Crabtree,OR,"Crabtree, OR",44.6353266,-122.8986429
Crane,OR,"Crane, OR",43.4166527,-118.5786837
Crescent,OR,"Crescent, OR",43.4623474,-121.6955803
Creswell,OR,"Creswell, OR",43.9179023,-123.0245261
Crooked River Ranch,OR,"Crooked River Ranch, OR",44.4245638,-121.2383729
Culver,OR,"Culver, OR",44.5256753,-121.2130974
Dairy,OR,"Dairy, OR",42.2351468,-121.52111
Dale,OR,"Dale, OR",44.9884873,-118.9474744
Dallas,OR,"Dallas, OR",44.9192844,-123.3170472
