name,state,address,lon,lat
21st Century Community Schoolhouse,Oregon,21st Century Community Schoolhouse SALEM Oregon,-123.0350963,44.9428975
Academy at Sisters,Oregon,Academy at Sisters LA PINE Oregon,-121.2239643,44.0992713
Academy of Arts and Academics,Oregon,Academy of Arts and Academics EUGENE Oregon,-123.0180422,44.0460749
Academy of International Studies at Woodburn,Oregon,Academy of International Studies at Woodburn WOODBURN Oregon,-122.8468791,45.1539859
Adrian High School,Oregon,Adrian High School Adrian Oregon,-117.0695653,43.7414852
Al Kennedy Alternative High School,Oregon,Al Kennedy Alternative High School COTTAGE GROVE Oregon,-123.0345948,43.8335665
Alliance Charter Academy,Oregon,Alliance Charter Academy PORTLAND Oregon,-122.5792233,45.3738948
Alliance High School at Benson Campus,Oregon,Alliance High School at Benson Campus PORTLAND Oregon,-122.6221241,45.558487
Alliance High School at Meek Professional Technical High School,Oregon,Alliance High School at Meek Professional Technical High School PORTLAND Oregon,-122.6221241,45.558487
Aloha High School,Oregon,Aloha High School Aloha Oregon,-122.8690143,45.4847243
Alsea High School,Oregon,Alsea High School Alsea Oregon,-123.5946877,44.3807746
Amity High School,Oregon,Amity High School AMITY Oregon,-123.2020444,45.1163019
Arlington High School,Oregon,Arlington High School ARLINGTON Oregon,-120.1999591,45.712426
Armadillo Technical Institute,Oregon,Armadillo Technical Institute Medford Oregon,-122.8183671,42.27241120000001
Arts & Communication High School,Oregon,Arts & Communication High School PORTLAND Oregon,-122.7942162,45.49451639999999
Arts and Technology High School,Oregon,Arts and Technology High School wilsonville Oregon,-122.7586528,45.3041576
Ashland High School,Oregon,Ashland High School ASHLAND Oregon,-122.700382,42.191232
Astoria Senior High School,Oregon,Astoria Senior High School GEARHART Oregon,-123.848337,46.175985
Baker Early College,Oregon,Baker Early College Gresham Oregon,-117.8343848,44.7748748
Baker High School,Oregon,Baker High School BAKER CITY Oregon,-117.8365918,44.7868335
Baker Web Academy,Oregon,Baker Web Academy PORTLAND Oregon,-123.1488485,44.0736616
Bandon High School,Oregon,Bandon High School BANDON Oregon,-124.420402,43.115599
Banks High School,Oregon,Banks High School BANKS Oregon,-123.1137385,45.6153127
Barbara Roberts High School,Oregon,Barbara Roberts High School SALEM Oregon,-122.9885342,44.9272137
Beaverton High School,Oregon,Beaverton High School BEAVERTON Oregon,-122.8107591,45.48606119999999
Bend Senior High School,Oregon,Bend Senior High School LA PINE Oregon,-121.507033,43.6797175
Benson Polytechnic High School,Oregon,Benson Polytechnic High School PORTLAND Oregon,-122.652747,45.527282
BizTech High School,Oregon,BizTech High School PORTLAND Oregon,-122.5729373,45.49430400000001
Blanchet Catholic School,Oregon,Blanchet Catholic School SALEM Oregon,-122.977323,44.9519163
Bonanza High School,Oregon,Bonanza High School BONANZA Oregon,-121.4063311,42.2002227
Brighton Academy,Oregon,Brighton Academy GRANTS PASS Oregon,-123.3197824,42.4494705
Brookings-Harbor High School,Oregon,Brookings-Harbor High School BROOKINGS Oregon,-124.2795964,42.0582257
Burns High School,Oregon,Burns High School BURNS Oregon,-119.0746655,43.5758279
Burnt River High School,Oregon,Burnt River High School Unity Oregon,-118.1932268,44.4404929
Butte Falls High School,Oregon,Butte Falls High School EAGLE POINT Oregon,-122.8015101,42.4754321
Butte Valley High School,California,Butte Valley High School DORRIS California,-121.9242625,41.963244
C S Lewis Academy,Oregon,C S Lewis Academy BEND Oregon,-122.9742828,45.31218930000001
Camas Valley High School,Oregon,Camas Valley High School CAMAS VALLEY Oregon,-123.6756786,43.0341586
Canby High School,Oregon,Canby High School CANBY Oregon,-122.6986539,45.2576001
Canyonville Christian Academy,Oregon,Canyonville Christian Academy GLENDALE Oregon,-123.2781778,42.92875919999999
Cascade Christian High School,Oregon,Cascade Christian High School Medford Oregon,-122.8808569,42.3626227
Cascade High School,Oregon,Cascade High School TURNER Oregon,-122.916768,44.809194
Catlin Gabel School,Oregon,Catlin Gabel School PORTLAND Oregon,-122.7674819,45.509995
Centennial High School,Oregon,Centennial High School PORTLAND Oregon,-122.4772308,45.4961834
